region,unemployment_rate
Haryana,29.36
Tripura,26.843181818181815
Jharkhand,24.72863636363636
Bihar,22.831818181818182
Puducherry,20.891
Delhi,19.363636363636363
Himachal Pradesh,17.03409090909091
Jammu & Kashmir,16.364444444444445
Chandigarh,16.330000000000002
Rajasthan,16.158636363636365
