region,unemployment_rate
Meghalaya,4.953809523809523
Assam,5.6847619047619045
Odisha,7.475454545454546
Gujarat,7.758181818181819
Madhya Pradesh,9.059545454545455
Maharashtra,9.275
Uttarakhand,9.356666666666667
Sikkim,9.482142857142858
Karnataka,9.626818181818182
Andhra Pradesh,9.94409090909091
